Tanggal,Negara,Sum of JumlahResident,Sum of JumlahPengunjug
1991-01-01,Argentina,0.0,380.0
1991-02-01,Argentina,0.0,280.0
1991-03-01,Argentina,0.0,180.0
1991-04-01,Argentina,0.0,170.0
1991-05-01,Argentina,0.0,180.0
1991-06-01,Argentina,0.0,140.0
1991-07-01,Argentina,0.0,150.0
1991-08-01,Argentina,0.0,140.0
1991-09-01,Argentina,0.0,130.0
1991-10-01,Argentina,0.0,260.0
1991-11-01,Argentina,0.0,210.0
1991-12-01,Argentina,0.0,420.0
1992-01-01,Argentina,0.0,560.0
1992-02-01,Argentina,0.0,260.0
1992-03-01,Argentina,0.0,340.0
1992-04-01,Argentina,0.0,200.0
1992-05-01,Argentina,0.0,100.0
1992-06-01,Argentina,0.0,170.0
1992-07-01,Argentina,0.0,170.0
1992-08-01,Argentina,0.0,170.0
1992-09-01,Argentina,0.0,220.0
1992-10-01,Argentina,0.0,240.0
1992-11-01,Argentina,0.0,210.0
1992-12-01,Argentina,0.0,460.0
1993-01-01,Argentina,0.0,470.0
1993-02-01,Argentina,0.0,410.0
1993-03-01,Argentina,0.0,470.0
1993-04-01,Argentina,0.0,320.0
1993-05-01,Argentina,0.0,210.0
1993-06-01,Argentina,0.0,140.0
1993-07-01,Argentina,0.0,190.0
1993-08-01,Argentina,0.0,200.0
1993-09-01,Argentina,0.0,230.0
1993-10-01,Argentina,0.0,510.0
1993-11-01,Argentina,0.0,200.0
1993-12-01,Argentina,0.0,520.0
1994-01-01,Argentina,0.0,570.0
1994-02-01,Argentina,0.0,470.0
1994-03-01,Argentina,0.0,640.0
1994-04-01,Argentina,0.0,270.0
1994-05-01,Argentina,0.0,370.0
1994-06-01,Argentina,0.0,170.0
1994-07-01,Argentina,0.0,460.0
1994-08-01,Argentina,0.0,310.0
1994-09-01,Argentina,0.0,570.0
1994-10-01,Argentina,0.0,360.0
1994-11-01,Argentina,0.0,520.0
1994-12-01,Argentina,0.0,560.0
1995-01-01,Argentina,0.0,680.0
1995-02-01,Argentina,0.0,630.0
1995-03-01,Argentina,0.0,680.0
